á	a u
esra	ɛ s r a
ester	ɛ s t ɛ r
esther	ɛ s t h ɛ r
estiva	ɛ s t i v a
eta	ɛ t a
éta	j ɛ t a
ethel	ɛ t h ɛ l
etnu	ɛ h t n ʏ
étur	j ɛ t ʏ r
evald	ɛ v a l t
evert	ɛ v ɛ r̥ t
evfemía	ɛ v f ɛ m i j a
evgenía	ɛ v k ɛ n i j a
evlalía	ɛ v l a l i j a
evra	ɛ v r a
evran	ɛ v r a n
evrópsk	ɛ v r o u p s k
evrópska	ɛ v r o u p s k a
evrópski	ɛ v r o u p s c ɪ
evrópskir	ɛ v r o u p s c ɪ r
evrópskri	ɛ v r o u p s k r ɪ
evrópsku	ɛ v r o u p s k ʏ
evrópuflugi	ɛ v r o u p ʏ p l ʏ j ɪ
evrópukeppni	ɛ v r o u p ʏ cʰ ɛ h p n ɪ
evrópukeppnina	ɛ v r o u p ʏ cʰ ɛ h p n ɪ n a
evrópumálanna	ɛ v r o u p ʏ m a u l a n a
evrópumálum	ɛ v r o u p ʏ m a u l ʏ m
evrópumeistarar	ɛ v r o u p ʏ m e i s t a r a r
evrópumeistari	ɛ v r o u p ʏ m e i s t a r ɪ
evrópuríkis	ɛ v r o u p ʏ r i c ɪ s
evrópusambandið	ɛ v r o u p ʏ s a m p a n t ɪ ð
evrópusambandsins	ɛ v r o u p ʏ s a m p a n t s ɪ n s
evrópuþingið	ɛ v r o u p ʏ θ i ŋ c ɪ ð
evru	ɛ v r ʏ
evrum	ɛ v r ʏ m
evruna	ɛ v r ʏ n a
evrunnar	ɛ v r ʏ n a r
evrunni	ɛ v r ʏ n ɪ
evu	ɛ v ʏ
exi	ɛ k s ɪ
ey	e i
eyberg	e i p ɛ r k
eybjörg	e i p j œ r k
eybjört	e i p j œ r̥ t
eyða	e i ð a
eyðibæir	e i ð ɪ p a i j ɪ r
eyðilagði	e i ð ɪ l a ɣ ð ɪ
eyðilagðist	e i ð ɪ l a ɣ ð ɪ s t
eyðilagt	e i ð ɪ l a ɣ t
eyðilegging	e i ð ɪ l ɛ c i ŋ k
eyðileggingar	e i ð ɪ l ɛ c i ŋ k a r
eyðileggingin	e i ð ɪ l ɛ ɣ c i ŋ c ɪ n
eyðileggingunni	e i ð ɪ l ɛ c i ŋ k ʏ n ɪ
eyðileggja	e i ð ɪ l ɛ c a
eyðileggur	e i ð ɪ l ɛ k ʏ r
eyðilögð	e i ð ɪ l œ ɣ ð
eyðilögðu	e i ð ɪ l œ ɣ ð ʏ
eyðilögðust	e i ð ɪ l œ ɣ ð ʏ s t
eyðing	e i ð i ŋ k
eydís	e i t i s
eyðublöð	e i ð ʏ p l œ ð
eyfríður	e i f r i ð ʏ r
eygerður	e i c ɛ r ð ʏ r
eygló	e i ɣ l o u
eyglóar	e i ɣ l o u a r
eyhildarholti	e i h ɪ l t a r h ɔ l̥ t ɪ
eyhlíð	e i l̥ i ð
eyja	e i j a
eyjabakka	e i j a p a h k a
eyjafjallajökli	e i j a f j a t l a j œ k l ɪ
eyjafjallajökuls	e i j a f j a t l a j œ k ʏ l s
eyjafjarðarbraut	e i j a v j a r ð a r p r ø y t
eyjafjarðardal	e i j a v j a r ð a r t a l
eyjafjöllum	e i j a f j œ t l ʏ m
eyjaholti	e i j a h ɔ l̥ t ɪ
eyjahrauni	e i j a r̥ ø y n ɪ
eyjaklasi	e i j a k l a s ɪ
eyjakonur	e i j a kʰ ɔ n ʏ r
eyjalín	e i j a l i n
eyjamenn	e i j a m ɛ n
eyjamönnum	e i j a m œ n ʏ m
eyjan	e i j a n
eyjardalsá	e i j a r t a l s a u
eyjarkoti	e i j a r kʰ ɔ t ɪ
eyjarlandi	e i j a r l a n t ɪ
eyjarslóð	e i j a r̥ s t l o u ð
eyjavöllum	e i j a v œ t l ʏ m
eyjólfsstöðum	e i j o u l v s s t œ ð ʏ m
eyjólfur	e i j o u l v ʏ r
eyju	e i j ʏ
eyjum	e i j ʏ m
eykst	e i k s t
eyktarási	e i x t a r a u s ɪ
eyktarhæð	e i x t a r h a i ð
eykur	e i k ʏ r
eylaugur	e i l ø y ɣ ʏ r
eyleif	e i l e i v
eylín	e i l i n
eymar	e i m a r
eymsli	e i m s t l ɪ
eymundur	e i m ʏ n t ʏ r
eynni	e i n ɪ
eyra	e i r a
eyrarbraut	e i r a r p r ø y t
eyrardal	e i r a r t a l
eyrarflöt	e i r a r̥ f l œ t
eyrargötu	e i r a r k œ t ʏ
eyrarhrauni	e i r a r r̥ ø y n ɪ
eyrarhúsum	e i r a r h u s ʏ m
eyrarkoti	e i r a r̥ k ɔ t ɪ
eyrarlandi	e i r a r l a n t ɪ
eyrarlandsholti	e i r a r l a n t s h ɔ l̥ t ɪ
eyrarlandsvegi	e i r a r l a n t s v e i j ɪ
eyrarodda	e i r a r ɔ t a
eyraroddi	e i r a r ɔ t ɪ
eyrarstíg	e i r a r̥ s t i ɣ
eyrarteigi	e i r a r̥ t e i j ɪ
eyrartröð	e i r a r̥ tʰ r œ ð
eyrartúni	e i r a r̥ tʰ u n ɪ
eyrarvegi	e i r a r v e i j ɪ
eyrarvík	e i r a r v i k
eyri	e i r ɪ
eyríkið	e i r i c ɪ ð
eyríkur	e i r i k ʏ r
eyris	e i r ɪ s
eyrós	e i r o u s
eyru	e i r ʏ
eyrún	e i r u n
eysteinn	e i s t e i t n
eystra	e i s t r a
eystrahrauni	e i s t r a u r̥ ø y n ɪ
eystri	e i s t r ɪ
eytt	e i h t
eyvar	e i v a r
eyveig	e i v e i ɣ
eyvík	e i v i k
eyvindará	e i v ɪ n t a r a u
eyvindarholti	e i v ɪ n t a r h ɔ l̥ t ɪ
eyvindarmúla	e i v ɪ n t a r m u l a
eyvindarstöðum	e i v ɪ n t a r s t œ ð ʏ m
eyvindartungu	e i v ɪ n t a r tʰ u ŋ k ʏ
eyvindur	e i v ɪ n t ʏ r
eyvör	e i v œ r
eyþór	e i θ o u r
eyþrúður	e i θ r u ð ʏ r
eþíópía	ɛ θ j o u pʰ i j a
fá	f a u
fáa	f a u a
fáanlegu	f a u a n l ɛ ɣ ʏ
fáar	f a u a r
faðir	f a ð ɪ r
faðirinn	f a ð ɪ r ɪ n
faðm	f a ð m
fæ	f a i
fæddi	f a i t ɪ
fæddist	f a i t ɪ s t
fæddust	f a i t ʏ s t
fæðing	f a i ð i ŋ k
fæðingar	f a i ð i ŋ k a r
fæðingarár	f a i ð i ŋ k a r a u r
fæðingardeild	f a i ð i ŋ k a r t e i l t
fæðingardeildinni	f a i ð i ŋ k a r t e i l t ɪ n ɪ
fæðingarorlof	f a i ð i ŋ k a r ɔ r l ɔ v
fæðingarorlofi	f a i ð i ŋ k a r ɔ r l ɔ v ɪ
fæðingarstofunni	f a i ð i ŋ k a r s t ɔ v ʏ n ɪ
fæðingu	f a i ð i ŋ k ʏ
fæðingum	f a i ð i ŋ k ʏ m
fæðst	f a i ð s t
fæðu	f a i ð ʏ
fæðuna	f a i ð ʏ n a
fáein	f a u e i n
fáeinum	f a u e i n ʏ m
fækka	f a i h k a
fækkað	f a i h k a ð
fækkaði	f a i h k a ð ɪ
fækkar	f a i h k a r
fækki	f a i h c ɪ
fækkun	f a i h k ʏ n
fækkunin	f a i h k ʏ n ɪ n
fælast	f a i l a s t
fældi	f a i l t ɪ
fældist	f a i l t ɪ s t
fælinn	f a i l ɪ n
fælir	f a i l ɪ r
fælist	f a i l ɪ s t
fær	f a i r
færa	f a i r a
færar	f a i r a r
færð	f a i r ð
færðar	f a i r ð a r
færði	f a i r ð ɪ
færðin	f a i r ð ɪ n
færðir	f a i r ð ɪ r
færður	f a i r ð ʏ r
færeysk	f a i r e i s k
færeyska	f a i r e i s k a
færeyskir	f a i r e i s c ɪ r
færeysku	f a i r e i s k ʏ
færeyskum	f a i r e i s k ʏ m
færi	f a i r ɪ
færir	f a i r ɪ r
færist	f a i r ɪ s t
færri	f a i r r ɪ
færsla	f a i r s t l a
færst	f a i r s t
fært	f a i r̥ t
færu	f a i r ʏ
færum	f a i r ʏ m
færustu	f a i r ʏ s t ʏ
fæst	f a i s t
fæstar	f a i s t a r
fæti	f a i t ɪ
fætt	f a i h t
fætur	f a i t ʏ r
fæturnir	f a i t ʏ r t n ɪ r
fagfólks	f a x f o u l̥ k s
fagleg	f a ɣ l ɛ ɣ
faglegt	f a ɣ l ɛ ɣ t
faglegum	f a ɣ l ɛ ɣ ʏ m
fagmannlega	f a ɣ m a n l ɛ ɣ a
fagmennska	f a ɣ m ɛ n s k a
fagna	f a k n a
fagnað	f a k n a ð
fagnaðarbjarma	f a k n a ð a r p j a r m a
fagnaðarlátum	f a k n a ð a r l a u t ʏ m
fagnaði	f a k n a ð ɪ
fagnar	f a k n a r
fagrabæ	f a k r a p a i
fagrabergi	f a k r a p ɛ r c ɪ
fagráð	f a k r a u ð
fagradal	f a k r a t a l
fagradalsbraut	f a k r a t a l s p r ø y t
fagragarði	f a k r a k a r ð ɪ
fagragerði	f a k r a c ɛ r ð ɪ
fagrahjalla	f a k r a ç a t l a
fagraholti	f a k r a h ɔ l̥ t ɪ
fagrahorni	f a k r a h ɔ r t n ɪ
fagrahvammi	f a k r a xʷ a m ɪ
fagrahvoli	f a k r a xʷ ɔ l ɪ
fagranesi	f a k r a n ɛ s ɪ
fagraneskoti	f a k r a n ɛ s k ɔ t ɪ
fagrar	f a k r a r
fagraskógi	f a k r a s k o u c ɪ
fagraþingi	f a k r a θ i ŋ c ɪ
fagurgerði	f a ɣ ʏ r c ɛ r ð ɪ
fagurhóli	f a ɣ ʏ r h o u l ɪ
fagurhólsmýri	f a ɣ ʏ r h o u l s m i r ɪ
fagurrautt	f a ɣ ʏ r r ø y h t
fái	f a u ɪ
fáir	f a u ɪ r
fákafeni	f a u k a f ɛ n ɪ
fákahvarfi	f a u k a xʷ a r v ɪ
fákaleiru	f a u k a l e i r ʏ
fáklæddir	f a u kʰ l a i t ɪ r
fálæti	f a u l a i t ɪ
falast	f a l a s t
faldi	f a l t ɪ
fálega	f a u l ɛ ɣ a
falgeir	f a l k e i r
falið	f a l ɪ ð
falin	f a l ɪ n
falinn	f a l ɪ n
fálkahrauni	f a u l̥ k a r̥ ø y n ɪ
fálkakletti	f a u l̥ k a kʰ l ɛ h t ɪ
fálkaorðu	f a u l̥ k a ɔ r ð ʏ
fálkaorðunni	f a u l̥ k a ɔ r ð ʏ n ɪ
fálkaorður	f a u l̥ k a ɔ r ð ʏ r
fálkavöllum	f a u l̥ k a v œ t l ʏ m
fall	f a t l
falla	f a t l a
fallast	f a t l a s t
fallbaráttunni	f a t l p a r a u h t ʏ n ɪ
falleg	f a t l ɛ ɣ
fallega	f a t l ɛ ɣ a
fallegast	f a t l ɛ ɣ a s t
fallegastir	f a t l ɛ ɣ a s t ɪ r
fallegi	f a t l e i j ɪ
fallegir	f a t l e i j ɪ r
fallegri	f a t l ɛ ɣ r ɪ
fallegt	f a t l ɛ ɣ t
fallegum	f a t l ɛ ɣ ʏ m
fallegur	f a t l ɛ ɣ ʏ r
fallegustu	f a t l ɛ ɣ ʏ s t ʏ
falleinkunn	f a t l e i ŋ̊ k ʏ n
fallhlífarstökk	f a t l l̥ i v a r s t œ h k
fallhlífarstökkið	f a t l l̥ i v a r s t œ h c ɪ ð
falli	f a l ɪ
fallið	f a t l ɪ ð
fallinn	f a t l ɪ n
fallist	f a t l ɪ s t
fallnir	f a t l n ɪ r
fallþunga	f a t l θ u ŋ k a
falsa	f a l s a
falsað	f a l s a ð
falsaða	f a l s a ð a
falsaðar	f a l s a ð a r
falsaði	f a l s a ð ɪ
falsaðir	f a l s a ð ɪ r
fámennt	f a u m ɛ n̥ t
fána	f a u n a
fanga	f a u ŋ k a
fangabúningi	f a u ŋ k a p u n i ɲ c ɪ
fangaeyjunni	f a u ŋ k a e i j ʏ n ɪ
fangageymslu	f a u ŋ k a k e i m s t l ʏ
fangageymslum	f a u ŋ k a k e i m s t l ʏ m
fangageymslur	f a u ŋ k a k e i m s t l ʏ r
fangaklefa	f a u ŋ k a kʰ l ɛ v a
fangaklefann	f a u ŋ k a kʰ l ɛ v a n
fanganna	f a u ŋ k a n a
fangar	f a u ŋ k a r
fangaskipti	f a u ŋ k a s k ɪ f t ɪ
fangaverði	f a u ŋ k a v ɛ r ð ɪ
fangavörður	f a u ŋ k a v œ r ð ʏ r
fangelsaður	f a u ŋ c ɛ l s a ð ʏ r
fangelsi	f a u ŋ c ɛ l s ɪ
fangelsinu	f a u ŋ c ɛ l s ɪ n ʏ
fangelsis	f a u ŋ c ɛ l s ɪ s
fangelsisdóm	f a u ŋ c ɛ l s ɪ s t o u m
fangelsismál	f a u ŋ c ɛ l s ɪ s m a u l
fangelsisvist	f a u ŋ c ɛ l s ɪ s v ɪ s t
fangelsisvistar	f a u ŋ c ɛ l s ɪ s v ɪ s t a r
fangelsuð	f a u ŋ c ɛ l s ʏ ð
fangelsum	f a u ŋ c ɛ l s ʏ m
fangelsunum	f a u ŋ c ɛ l s ʏ n ʏ m
fangi	f a u ŋ c ɪ
fanginu	f a u ŋ c ɪ n ʏ
fann	f a n
fannar	f a n a r
fannarfelli	f a n a r f ɛ t l ɪ
fannberg	f a n p ɛ r k
fannborg	f a n p ɔ r k
fanney	f a n e i
fannfergi	f a n f ɛ r c ɪ
fanngeir	f a n k e i r
fannst	f a n s t
fanný	f a n i
far	f a r
fara	f a r a
faraldsfæti	f a r a l t s f a i t ɪ
faraldur	f a r a l t ʏ r
farangrinum	f a r a u ŋ k r ɪ n ʏ m
farangurinn	f a r a u ŋ k ʏ r ɪ n
farangursgeymslu	f a r a u ŋ k ʏ r̥ s k e i m s t l ʏ
farangursgeymslunni	f a r a u ŋ k ʏ r̥ s k e i m s t l ʏ n ɪ
fáránleg	f a u r a u n l ɛ ɣ
fáránlega	f a u r a u n l ɛ ɣ a
fáránlegt	f a u r a u n l ɛ ɣ t
fararbroddi	f a r a r p r ɔ t ɪ
fararleyfi	f a r a r l e i v ɪ
farartæki	f a r a r tʰ a i c ɪ
farast	f a r a s t
farbann	f a r p a n
farbanni	f a r p a n ɪ
farðalaust	f a r ð a l ø y s t
farði	f a r ð ɪ
farfuglaheimilin	f a r̥ f ʏ k l a h e i m ɪ l ɪ n
farfuglar	f a r̥ f ʏ k l a r
farfuglinn	f a r̥ f ʏ k l ɪ n
fargjöld	f a r c œ l t
fari	f a r ɪ
farið	f a r ɪ ð
farin	f a r ɪ n
farinn	f a r ɪ n
farist	f a r ɪ s t
farkosti	f a r̥ k ɔ s t ɪ
farlama	f a r l a m a
farm	f a r m
farmi	f a r m ɪ
farmiða	f a r m ɪ ð a
farnir	f a r t n ɪ r
farsælli	f a r̥ s a i t l ɪ
farsi	f a r̥ s ɪ
farsíma	f a r̥ s i m a
farsímann	f a r̥ s i m a n
farsími	f a r̥ s i m ɪ
farsíminn	f a r̥ s i m ɪ n
fársjúk	f a u r̥ s j u k
fartölvu	f a r̥ tʰ œ l v ʏ
farvatninu	f a r v a h t n ɪ n ʏ
farvegi	f a r v e i j ɪ
fárviðri	f a u r v ɪ ð r ɪ
farþega	f a r̥ θ ɛ ɣ a
farþegaflug	f a r̥ θ ɛ ɣ a f l ʏ ɣ
farþegaflugvél	f a r̥ θ ɛ ɣ a f l ʏ ɣ v j ɛ l
farþegann	f a r̥ θ ɛ ɣ a n
farþeganna	f a r̥ θ ɛ ɣ a n a
farþegar	f a r̥ θ ɛ ɣ a r
farþegarnir	f a r̥ θ ɛ k a r t n ɪ r
farþegasætinu	f a r̥ θ ɛ ɣ a s a i t ɪ n ʏ
farþegaskip	f a r̥ θ ɛ ɣ a s k ɪ p
farþegavél	f a r̥ θ ɛ ɣ a v j ɛ l
farþegavélar	f a r̥ θ ɛ ɣ a v j ɛ l a r
farþegaþota	f a r̥ θ ɛ ɣ a θ ɔ t a
farþegi	f a r̥ θ e i j ɪ
farþeginn	f a r̥ θ e i j ɪ n
farþegum	f a r̥ θ ɛ ɣ ʏ m
farþegunum	f a r̥ θ ɛ ɣ ʏ n ʏ m
fas	f a s
fasa	f a s a
fasi	f a s ɪ
fasistunum	f a s ɪ s t ʏ n ʏ m
fast	f a s t
fást	f a u s t
fasta	f a s t a
fastan	f a s t a n
fasteign	f a s t e i k n
fasteignagjöld	f a s t e i k n a j œ l t
fasteignakaupum	f a s t e i k n a kʰ ø y p ʏ m
fasteignalánum	f a s t e i k n a l a u n ʏ m
fasteignamarkaði	f a s t e i k n a m a r̥ k a ð ɪ
fasteignar	f a s t e i k n a r
fasteignasala	f a s t e i k n a s a l a
fasteignasali	f a s t e i k n a s a l ɪ
fasteignaskatti	f a s t e i k n a s k a h t ɪ
fasteignasölu	f a s t e i k n a s œ l ʏ
fasteignaviðskipti	f a s t e i k n a v ɪ ð s k ɪ f t ɪ
fasteignir	f a s t e i k n ɪ r
fastir	f a s t ɪ r
fastmótaðar	f a s t m o u t a ð a r
fastra	f a s t r a
fastráðin	f a s t r a u ð ɪ n
fátækir	f a u tʰ a i c ɪ r
fátækrahverfi	f a u tʰ a i k r a xʷ ɛ r v ɪ
fátækt	f a u tʰ a i x t
fátæktin	f a u tʰ a i x t ɪ n
fátækustu	f a u tʰ a i k ʏ s t ʏ
fatafella	f a t a f ɛ t l a
fatahönnun	f a t a h œ n ʏ n
fatið	f a t ɪ ð
fátíð	f a u tʰ i ð
fátíðari	f a u tʰ i ð a r ɪ
fatlaða	f a t l a ð a
fatlaðra	f a t l a ð r a
fatlaðs	f a t l a ð s
fatnaði	f a h t n a ð ɪ
fátt	f a u h t
fauk	f ø y k
fáum	f a u ʏ m
fauti	f ø y t ɪ
fáviti	f a u v ɪ t ɪ
fax	f a x s
faxabóli	f a x s a p o u l ɪ
faxabraut	f a x s a p r ø y t
faxafeni	f a x s a v ɛ n ɪ
faxaflóa	f a x s a p l o u a
faxahvarfi	f a x s a xʷ a r v ɪ
faxatorgi	f a x s a tʰ ɔ r c ɪ
faxatröð	f a x s a tʰ r œ ð
faxatúni	f a x s a tʰ u n ɪ
fé	f j ɛ
febrúar	f ɛ p r u a r
febrúarmánuði	f ɛ p r u a r m a u n ʏ ð ɪ
féð	f j ɛ ð
feðgar	f ɛ ð k a r
feðgarnir	f ɛ ð k a r t n ɪ r
feðgin	f ɛ ð c ɪ n
feðgum	f ɛ ð c ʏ m
feðgunum	f ɛ ð k ʏ n ʏ m
feðrunum	f ɛ ð r ʏ n ʏ m
feður	f ɛ ð ʏ r
fegin	f e i j ɪ n
fegra	f ɛ ɣ r a
fegrunaraðgerð	f ɛ ɣ r ʏ n a r a ð c ɛ r ð
fegurð	f ɛ ɣ ʏ r ð
fegurðardrottning	f ɛ ɣ ʏ r ð a r t r ɔ h t n i ŋ k
fegurðardrottningu	f ɛ ɣ ʏ r ð a r t r ɔ h t n i ŋ k ʏ
fegurðarsamkeppni	f ɛ ɣ ʏ r ð a r s a m cʰ ɛ h p n ɪ
fegurst	f ɛ ɣ ʏ r̥ s t
fegursta	f ɛ ɣ ʏ r̥ s t a
feigsdal	f e i k s t a l
feilreiknaði	f e i l r e i k n a ð ɪ
feimnismál	f e i m n ɪ s m a u l
feitan	f e i t a n
feitari	f e i t a r ɪ
feitir	f e i t ɪ r
feitur	f e i t ʏ r
fékk	f j ɛ h k
fékkst	f j ɛ h k s t
fela	f ɛ l a
félag	f j ɛ l a ɣ
félaga	f j ɛ l a ɣ a
félagar	f j ɛ l a ɣ a r
félagaskráin	f j ɛ l a ɣ a s k r a u ɪ n
félagi	f j ɛ l a j ɪ
félagið	f j ɛ l a j ɪ ð
félaginn	f j ɛ l a j ɪ n
félaginu	f j ɛ l a j ɪ n ʏ
félags	f j ɛ l a x s
félagsdóm	f j ɛ l a x s t o u m
félagsdóms	f j ɛ l a x s t o u m s
félagsheimili	f j ɛ l a x s h e i m ɪ l ɪ
félagsheimilinu	f j ɛ l a x s h e i m ɪ l ɪ n ʏ
félagsins	f j ɛ l a x s ɪ n s
félagsleg	f j ɛ l a x s l ɛ ɣ
félagslega	f j ɛ l a x s l ɛ ɣ a
félagslegan	f j ɛ l a x s l ɛ ɣ a n
félagslegar	f j ɛ l a x s l ɛ ɣ a r
félagsmálaráðuneytisins	f j ɛ l a x s m a u l a r a u ð ʏ n e i t ɪ s ɪ n s
félagsmenn	f j ɛ l a x s m ɛ n
félagsráðgjafar	f j ɛ l a x s r a u ð c a v a r
félagsskapur	f j ɛ l a x s s k a p ʏ r
felast	f ɛ l a s t
feldinn	f ɛ l t ɪ n
féll	f j ɛ t l
fella	f ɛ t l a
fellabæ	f ɛ t l a p a i
fellahvarfi	f ɛ t l a xʷ a r v ɪ
fellaskjóli	f ɛ t l a s c o u l ɪ
fellasmára	f ɛ t l a s m a u r a
fellasneið	f ɛ t l a s n e i ð
felld	f ɛ t l t
felldar	f ɛ t l t a r
felldi	f ɛ t l t ɪ
felldir	f ɛ t l t ɪ r
felldu	f ɛ t l t ʏ
felldur	f ɛ t l t ʏ r
felli	f ɛ t l ɪ
fellibyl	f ɛ t l ɪ p ɪ l
fellibyljar	f ɛ t l ɪ p ɪ l j a r
fellibylnum	f ɛ t l ɪ p ɪ l n ʏ m
fellibylurinn	f ɛ t l ɪ p ɪ l ʏ r ɪ n
fellihýsum	f ɛ t l ɪ i s ʏ m
fellir	f ɛ t l ɪ r
fellsbraut	f ɛ t l s p r ø y t
fellsenda	f ɛ t l s ɛ n t a
fellshlíð	f ɛ t l s l̥ i ð
fellskoti	f ɛ t l s k ɔ t ɪ
fellsmúla	f ɛ t l s m u l a
fellsseli	f ɛ t l s s ɛ l ɪ
fellst	f ɛ t l s t
féllst	f j ɛ l l s t
fellstúni	f ɛ t l s tʰ u n ɪ
fellt	f ɛ t l̥ t
féllu	f j ɛ l l ʏ
fellur	f ɛ t l ʏ r
felmtri	f ɛ l m tʰ r ɪ
felmtruð	f ɛ l m tʰ r ʏ ð
félög	f j ɛ l œ ɣ
félögin	f j ɛ l œ j ɪ n
félögum	f j ɛ l œ ɣ ʏ m
félögunum	f j ɛ l œ ɣ ʏ n ʏ m
felst	f ɛ l s t
felum	f ɛ l ʏ m
felur	f ɛ l ʏ r
fema	f ɛ m a
femínista	f ɛ m i n ɪ s t a
femínistar	f ɛ m i n ɪ s t a r
fengi	f e i ɲ c ɪ
fengið	f e i ɲ c ɪ ð
fengin	f e i ɲ c ɪ n
fenginn	f e i ɲ c ɪ n
fengist	f e i ɲ c ɪ s t
fengu	f e i ŋ k ʏ
fengum	f e i ŋ k ʏ m
fengur	f e i ŋ k ʏ r
fengust	f e i ŋ k ʏ s t
fenjum	f ɛ n j ʏ m
fenrir	f ɛ n r ɪ r
fenris	f ɛ n r ɪ s
fensölum	f ɛ n s œ l ʏ m
fer	f ɛ r
ferð	f ɛ r ð
ferða	f ɛ r ð a
ferðabannið	f ɛ r ð a p a n ɪ ð
ferðafélaga	f ɛ r ð a f j ɛ l a ɣ a
ferðafólk	f ɛ r ð a f o u l̥ k
ferðahópa	f ɛ r ð a h o u p a
ferðalag	f ɛ r ð a l a ɣ
ferðalagi	f ɛ r ð a l a i j ɪ
ferðalagið	f ɛ r ð a l a i j ɪ ð
ferðalög	f ɛ r ð a l œ ɣ
ferðalögum	f ɛ r ð a l œ ɣ ʏ m
ferðamaður	f ɛ r ð a m a ð ʏ r
ferðamanna	f ɛ r ð a m a n a
ferðamannabærinn	f ɛ r ð a m a n a p a i r ɪ n
ferðamannanna	f ɛ r ð a m a n a n a
ferðamannatímabilið	f ɛ r ð a m a n n a tʰ i m a p ɪ l ɪ ð
ferðamanni	f ɛ r ð a m a n ɪ
ferðamenn	f ɛ r ð a m ɛ n
ferðamennirnir	f ɛ r ð a m ɛ n ɪ r t n ɪ r
ferðamennska	f ɛ r ð a m ɛ n s k a
ferðamennsku	f ɛ r ð a m ɛ n s k ʏ
ferðamönnum	f ɛ r ð a m œ n ʏ m
ferðast	f ɛ r ð a s t
ferðatöskum	f ɛ r ð a tʰ œ s k ʏ m
ferðaveðri	f ɛ r ð a v ɛ ð r ɪ
ferðaveður	f ɛ r ð a v ɛ ð ʏ r
ferðaþjónustu	f ɛ r ð a θ j o u n ʏ s t ʏ
ferðaþjónustuna	f ɛ r ð a θ j o u n ʏ s t ʏ n a
ferðaþjónustunnar	f ɛ r ð a θ j o u n ʏ s t ʏ n a r
ferðaþreyta	f ɛ r ð a θ r e i t a
ferðin	f ɛ r ð ɪ n
ferðina	f ɛ r ð ɪ n a
ferdínand	f ɛ r t i n a n t
ferðinni	f ɛ r ð ɪ n ɪ
ferðir	f ɛ r ð ɪ r
ferðirnar	f ɛ r ð ɪ r t n a r
ferðist	f ɛ r ð ɪ s t
ferðum	f ɛ r ð ʏ m
ferðunum	f ɛ r ð ʏ n ʏ m
ferfætlingar	f ɛ r̥ f a i h t l i ŋ k a r
ferfættur	f ɛ r̥ f a i h t ʏ r
ferilinn	f ɛ r ɪ l ɪ n
ferillinn	f ɛ r ɪ t l ɪ n
ferilskrár	f ɛ r ɪ l s k r a u r
ferju	f ɛ r j ʏ
ferjubakka	f ɛ r j ʏ p a h k a
ferjubruna	f ɛ r j ʏ p r ʏ n a
ferjukot	f ɛ r j ʏ kʰ ɔ t
ferjukoti	f ɛ r j ʏ kʰ ɔ t ɪ
ferjunesi	f ɛ r j ʏ n ɛ s ɪ
ferjunnar	f ɛ r j ʏ n a r
ferjuvaði	f ɛ r j ʏ v a ð ɪ
ferjuvogi	f ɛ r j ʏ v ɔ j ɪ
ferli	f ɛ r t l ɪ
ferlið	f ɛ r t l ɪ ð
ferlinum	f ɛ r t l ɪ n ʏ m
fermetra	f ɛ r m ɛ t r a
fermingarbörn	f ɛ r m i ŋ k a r p œ r t n
fermingarmyndir	f ɛ r m i ŋ k a r m ɪ n t ɪ r
fermt	f ɛ r m t
fern	f ɛ r t n
ferskur	f ɛ r̥ s k ʏ r
ferskvatns	f ɛ r̥ s k v a s
ferstiklu	f ɛ r̥ s t ɪ kʰ l ʏ
fertugasta	f ɛ r̥ t ʏ ɣ a s t a
fertugsafmælið	f ɛ r̥ t ʏ x s a v m a i l ɪ ð
fertugsaldri	f ɛ r̥ t ʏ x s a l t r ɪ
fertugum	f ɛ r̥ t ʏ ɣ ʏ m
fertugur	f ɛ r̥ t ʏ ɣ ʏ r
festa	f ɛ s t a
festi	f ɛ s t ɪ
festist	f ɛ s t ɪ s t
festu	f ɛ s t ʏ
festur	f ɛ s t ʏ r
festust	f ɛ s t ʏ s t
fet	f ɛ t
fí	f i
fía	f i j a
fídes	f i t ɛ s
fídjieyjar	f i t j ɪ e i j a r
fiðla	f ɪ ð l a
fiðlu	f ɪ ð l ʏ
fiðraðir	f ɪ ð r a ð ɪ r
fiðrið	f ɪ ð r ɪ ð
fiðrildi	f ɪ ð r ɪ l t ɪ
fiðruð	f ɪ ð r ʏ ð
fífa	f i v a
fífilbrekku	f i v ɪ l p r ɛ h k ʏ
fífilgerði	f i v ɪ l c ɛ r ð ɪ
fífilgötu	f i v ɪ l k œ t ʏ
fífill	f i v ɪ t l
fíflar	f i p l a r
fíflholtum	f i p l h ɔ l̥ t ʏ m
fífudal	f i v ʏ t a l
fífuhjalla	f i v ʏ ç a t l a
fífuhvammi	f i v ʏ xʷ a m ɪ
fífuhvammsvegi	f i v ʏ xʷ a m s v e i j ɪ
fífumóa	f i v ʏ m o u a
fífumýri	f i v ʏ m i r ɪ
fífunni	f i v ʏ n ɪ
fífurima	f i v ʏ r ɪ m a
fífuseli	f i v ʏ s ɛ l ɪ
fífusundi	f i v ʏ s ʏ n t ɪ
fífutjörn	f i v ʏ t j œ r t n
fífutungu	f i v ʏ tʰ u ŋ k ʏ
fífuvöllum	f i v ʏ v œ t l ʏ m
fíkla	f i k l a
fíkn	f i k n
